names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Mowgli: Legend of the Jungle,2018,U/A 13+ ,1h 44m,An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy -- and his own human origins.,"['Family Features', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Gritty,","['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris', 'Andy Serkis', 'Rohan Chand', 'Peter Mullan', 'Jack Reynor', 'Eddie Marsan', 'Tom Hollander', 'Louis Ashbourne Serkis', 'Matthew Rhys', 'Freida Pinto']","['English,', 'English,', 'Hindi,', 'Tamil,', 'Telugu']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Kalagathalaivan,2022,A ,2h 19m,A brilliant corporate whistleblower's plan to bring down a shady company turns perilous when a cold-blooded hitman is hired to hunt him down.,['Action & Adventure'],"Violent,","['Udhayanidhi Stalin', 'Nidhhi Agerwal', 'Kalaiyarasan', 'Arav', 'Jeeva Ravi', 'Anupama Kumar', 'R.J. Vigneshkanth', 'Angana Roy', 'Akshitha Ravindran', 'Shan', 'Sanjay Saravanan', 'Praveen']","['English,', 'Hindi']","['Kannada,', 'Malayalam,', 'Tamil [Original],', 'Telugu']"
Thallumaala,2022,U/A 16+ ,2h 26m,"Waseem is young, carefree and often drawn to fights. But when love blooms with a star vlogger, the impact of his fists could have disastrous effects.","['Action & Adventure', 'Comedies']",Offbeat,"['Tovino Thomas', 'Kalyani Priyadarshan', 'Shine Tom Chacko', 'Lukman Lukku', 'Swathi Das Prabhu', 'Binu Pappu', 'Gokulan', 'Chemban Vinod Jose']","['English,', 'Spanish,', 'Hindi']",['Malayalam [Original]']
Red Notice,2021,U/A 13+ ,1h 58m,An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who's always one step ahead.,"['US Movies', 'Crime Movies', 'Action & Adventure', 'Comedies']",Exciting,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Kantara (Hindi),2022,U/A 16+ ,2h 27m,"A fiery young man clashes with an unflinching forest officer in a south Indian village where spirituality, fate and folklore rule the lands.",['Action & Adventure'],"Ominous,","['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda', 'Manasi Sudhir', 'Prakash Tuminadu', 'Shanil Guru', 'Pramod Shetty', 'Deepak Rai Panaje', 'Ranjan']","['English,', 'Hindi']","['English,', 'Hindi']"
Jurassic Park,1993,U/A 16+ ,2h 6m,"Science, sabotage and prehistoric DNA collide when cloned dinosaurs escape their enclosures at a top-secret theme park and begin preying on the guests.","['Sci-Fi Movies', 'US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Main Hoon Na,2004,U/A 13+ ,2h 51m,Major Ram Prasad Sharma yearns to see project Mission Milaap come to fruition and usher in an era of peace between two warring countries. But the evil Raghavan will do anything to stop the peace process.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Dramas', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Sunil Shetty', 'Sushmita Sen', 'Zayed Khan', 'Amrita Rao', 'Kiron Kher', 'Boman Irani', 'Bindu', 'Naseeruddin Shah', 'Kabir Bedi']",['English'],['Hindi [Original]']
The Last Airbender,2010,U/A 13+ ,1h 44m,"In a world ravaged by the Fire nation's aggression toward the peaceful Air, Water and Earth nations, a young boy holds the key to restoring peace.","['Sci-Fi Movies', 'Family Features', 'US Movies', 'Action & Adventure']",Exciting,"['Noah Ringer', 'Dev Patel', 'Nicola Peltz', 'Jackson Rathbone', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis', 'Seychelle Gabriel', 'Jessica Andres', 'Keong Sim', 'Summer Bishil', 'Francis Guinan', 'Katharine Houghton', 'Damon Gupton']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
6 Underground,2019,A ,2h 8m,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.","['US Movies', 'Action & Adventure']",Adrenaline Rush,"['Ryan Reynolds', 'Mélanie Laurent', 'Corey Hawkins', 'Dave Franco', 'Adria Arjona', 'Manuel Garcia-Rulfo', 'Ben Hardy', 'Lior Raz', 'Payman Maadi', 'Yuri Kolokolnikov', 'Kim Kold']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Chennai Express,2013,U/A 13+ ,2h 14m,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Deepika Padukone', 'Nikitin Dheer', 'Satyaraj', 'Kamini Kaushal', 'Lekh Tandon', 'Mukesh Tiwari']",['English'],['Hindi [Original]']
Happy New Year,2014,U/A 13+ ,2h 58m,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.,"['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies']",Feel-Good,"['Shah Rukh Khan', 'Deepika Padukone', 'Abhishek Bachchan', 'Sonu Sood', 'Boman Irani', 'Vivaan Shah']",['English'],['Hindi [Original]']
RRR (Hindi),2022,A ,3h 5m,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,"['Action & Adventure', 'Dramas']",Adrenaline Rush,"['NTR Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Shriya Saran', 'Samuthirakani', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris']","['English,', 'Hindi']","['English,', 'Hindi']"
Enola Holmes 2,2022,U/A 13+ ,2h 10m,"Enola takes on her first official case as a detective, but to solve the mystery of a missing girl, she'll need help from friends — and brother Sherlock.","['Mysteries', 'Family Features', 'US Movies', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Witty,","['Millie Bobby Brown', 'Henry Cavill', 'David Thewlis', 'Louis Partridge', 'Helena Bonham Carter', 'Susan Wokoma', 'Adeel Akhtar', 'Sharon Duncan-Brewster']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Johnny English Reborn,2011,U/A 13+ ,1h 41m,Bumbling spy Johnny English sharpens his skills at a Tibetan monastery and returns to service to protect the Chinese premier from an assassin.,"['Spy Movies', 'Family Features', 'Action & Adventure', 'Comedies']","Quirky,","['Rowan Atkinson', 'Dominic West', 'Gillian Anderson', 'Rosamund Pike', 'Daniel Kaluuya', 'Richard Schiff', 'Pik Sen Lim', 'Togo Igawa', 'Mark Ivanir', 'Burn Gorman', 'Tim McInnerny']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Journey 2: The Mysterious Island,2012,U/A 13+ ,1h 34m,"When a distress signal pinpoints his grandfather's location on an uncharted island, teen Sean Anderson teams with an unlikely ally: his stepfather.","['Family Features', 'US Movies', 'Movies Based on Books', 'Action & Adventure']",Exciting,"['Dwayne Johnson', 'Josh Hutcherson', 'Michael Caine', 'Vanessa Hudgens', 'Luis Guzmán', 'Kristin Davis', 'Anna Colwell', 'Stephen Caudill', 'Branscombe Richmond', 'Walter Bankson']",['English'],"['English [Original],', 'Hindi']"
Mission: Impossible - Rogue Nation,2015,U/A 13+ ,2h 12m,"When the IMF is dissolved, Ethan Hunt and his allies launch their own war against the Syndicate, a group of renegade spies bent on world destruction.","['Spy Movies', 'US Movies', 'Action & Adventure']","Adrenaline Rush,","['Tom Cruise', 'Jeremy Renner', 'Ving Rhames', 'Simon Pegg', 'Alec Baldwin', 'Rebecca Ferguson', 'Simon McBurney', 'Zhang Jingchu', 'Sean Harris']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Spider-Man: No Way Home,2021,U/A 13+ ,2h 28m,"When his loved ones are put at risk, Peter Parker asks Doctor Strange to restore his secret — and accidentally sets off a disaster of epic proportions.","['Sci-Fi Movies', 'Family Features', 'US Movies', 'Action & Adventure']","Mind-Bending,","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Don 2,2011,U/A 13+ ,2h 27m,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure']",Exciting,"['Shah Rukh Khan', 'Priyanka Chopra Jonas', 'Boman Irani', 'Kunal Kapoor', 'Om Puri', 'Alyy Khan', 'Nawab Shah', 'Lara Dutta', 'Sahil Shroff']",['English'],['Hindi [Original]']
Extraction,2020,A ,1h 58m,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,"['US Movies', 'Movies Based on Books', 'Action & Adventure']","Violent,","['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']"
Knight and Day,2010,U/A 16+ ,1h 49m,A woman's airport meet-cute kicks off a wild globe-trotting adventure with a secret agent who might be a keeper — if they can both stay alive.,"['Romantic Comedies', 'Spy Movies', 'US Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']","Exciting,","['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Jordi Mollá', 'Viola Davis', 'Paul Dano', 'Falk Hentschel', 'Marc Blucas', 'Lennie Loftin', 'Maggie Grace', 'Dale Dye']","['English,', 'Hindi']",['English [Original]']
Sarkar (Tamil),2018,A ,2h 42m,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,"['Action & Adventure', 'Dramas']",Emotional,"['Vijay', 'Varalakshmi Sarathkumar', 'Keerthy Suresh', 'Radha Ravi', 'Pala Karuppaiah', 'Yogi Babu']","['English,', 'Hindi']",['Tamil [Original]']
Gunjan Saxena: The Kargil Girl,2020,U/A 13+ ,1h 52m,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.,"['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Dramas']","Inspiring,","['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi', 'Vineet Kumar Singh', 'Manav Vij', 'Ayesha Raza Mishra']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Tamil,', 'Telugu']"
Minnal Murali,2021,U/A 13+ ,2h 39m,"A tailor gains special powers after being struck by lightning, but must take down an unexpected foe if he is to become the superhero his hometown needs.","['Action & Adventure', 'Comedies', 'Dramas']","Emotional,","['Tovino Thomas', 'Guru Somasundaram', 'Aju Varghese', 'Baiju', 'Harisree Asokan', 'Femina George', 'Sneha Babu', 'P. Balachandran']","['English,', 'Spanish,', 'Hindi,', 'Malayalam']","['English,', 'Hindi,', 'Kannada,', 'Malayalam - Audio Description,', 'Malayalam [Original],', 'Tamil,', 'Telugu']"
The Gray Man,2022,U/A 16+ ,2h 9m,"When a shadowy CIA agent uncovers damning agency secrets, he’s hunted across the globe by a sociopathic rogue operative who’s put a bounty on his head.","['US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Ryan Gosling', 'Chris Evans', 'Ana de Armas', 'Jessica Henwick', 'Regé-Jean Page', 'Wagner Moura', 'Julia Butters', 'Dhanush', 'Alfre Woodard', 'Billy Bob Thornton']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Kannada,', 'Tamil,', 'Telugu']"
Spider-Man: No Way Home (Extended Version),2022,U/A 13+ ,2h 36m,"When his identity is exposed, Spider-Man turns to Doctor Strange for help in this extended edition featuring deleted footage and a special introduction.","['Sci-Fi Movies', 'Family Features', 'US Movies', 'Action & Adventure']","Mind-Bending,","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Marisa Tomei', 'Tony Revolori', 'Tobey Maguire', 'Andrew Garfield']","['English,', 'Hindi']","['English [Original],', 'Hindi']"
Hotel Transylvania 2,2015,U/A 7+ ,1h 29m,"After Mavis weds Jonathan and baby Dennis arrives, Dracula looks for proof that his grandson is a vampire and needs to remain in Transylvania.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Feel-Good,","['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Steve Buscemi', 'David Spade', 'Keegan-Michael Key', 'Asher Blinkoff', 'Fran Drescher', 'Molly Shannon', 'Megan Mullally', 'Nick Offerman', 'Dana Carvey', 'Rob Riggle', 'Mel Brooks']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
A Babysitter's Guide to Monster Hunting,2020,U/A 7+ ,1h 38m,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.","['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies']",Exciting,"['Tamara Smart', 'Oona Laurence', 'Tom Felton', 'Troy Leigh-Anne Johnson', 'Lynn Masako Cheng', 'Ty Consiglio', 'Ian Ho', 'Indya Moore', 'Alessio Scalzotto', 'Tamsen McDonough']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Dasvi,2022,U/A 7+ ,2h 5m,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.","['Family Features', 'Hindi-Language Movies', 'Bollywood Movies', 'Children & Family Movies', 'Comedies']",Feel-Good,"['Abhishek Bachchan', 'Yami Gautam', 'Nimrat Kaur', 'Manu Rishi Chadha', 'Chittaranjan Tripathi', 'Danish Husain', 'Arun Kushwaha', 'Dhanveer Singh', 'Abhimanyu Yadav']","['English,', 'Hindi']",['Hindi [Original]']
The Croods,2013,U/A 7+ ,1h 38m,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Exciting,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Chris Sanders', 'Randy Thom']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Royal Treatment,2022,U/A 7+ ,1h 37m,"New York hairdresser Izzy seizes the chance to work at the wedding of a charming prince, but when sparks between them fly, will love — or duty — prevail?","['Romantic Comedies', 'Family Features', 'US Movies', 'Children & Family Movies', 'Comedies', 'Romantic Movies']","Charming,","['Laura Marano', 'Mena Massoud', 'Chelsie Preston Crayford', 'Grace Bentley-Tsibuah', 'Cameron Rhodes', 'Sonia Gray', 'Elizabeth Hawthorne', 'Amanda Billing', 'James Gaylyn', 'Paul Norell', 'Teuila Blakely', 'Jacque Drew', 'Phoenix Connolly', 'Matthew E. Morgan', 'Jay Simon']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Skater Girl,2021,U/A 7+ ,1h 49m,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.","['Family Features', 'Children & Family Movies', 'Dramas', 'Sports Movies']","Adrenaline Rush,","['Rachel Saanchita Gupta', 'Amy Maghera', 'Shafin Patel', 'Ambrish Saxena', 'Swati Das', 'Jonathan Readwin', 'Ankit Yadav', 'Anurag Arora', 'Vinayak Gupta', 'Vivek Yadav', 'Waheeda Rehman']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Tamil,', 'Telugu']"
Bee Movie,2007,U/A 7+ ,1h 32m,"Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",,"['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton', 'John Goodman', 'Chris Rock', 'Kathy Bates', 'Barry Levinson', 'Larry King', 'Ray Liotta']","['Bangla,', 'English,', 'Hindi,', 'Tamil']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Kung Fu Panda 2,2011,U/A 7+ ,1h 32m,"With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.","['Martial Arts Movies', 'Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Exciting,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Seth Rogen', 'Lucy Liu', 'Jackie Chan', 'David Cross', 'James Hong', 'Michelle Yeoh']","['Bangla,', 'English,', 'Hindi,', 'Tamil']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Charlie and the Chocolate Factory,2005,U/A 7+ ,1h 54m,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Quirky,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee', 'Adam Godley', 'AnnaSophia Robb', 'Julia Winter', 'Jordan Fry', 'Philip Wiegratz']",['English'],"['English [Original],', 'Hindi']"
Puss in Boots,2011,U/A 7+ ,1h 32m,The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure: the Golden Goose.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Witty,","['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton', 'Amy Sedaris', 'Constance Marie', 'Guillermo del Toro', 'Mike Mitchell']","['Bangla,', 'English,', 'Hindi,', 'Tamil']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Madagascar,2005,U/A 7+ ,1h 26m,Four animal friends get a taste of the wild life when they break out of captivity at the Central Park Zoo and wash ashore on the island of Madagascar.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Goofy,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Christopher Knights', 'Chris Miller']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
"Lyle, Lyle, Crocodile",2022,U/A 7+ ,1h 46m,Josh and his parents are shocked to find a singing crocodile in their attic but quickly learn to love him. If only their grumpy neighbor felt the same!,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Feel-Good,"['Javier Bardem', 'Constance Wu', 'Shawn Mendes', 'Winslow Fegley', 'Scoot McNairy', 'Brett Gelman', 'Ego Nwodim', 'Lyric Hurd']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Over the Moon,2020,U/A 7+ ,1h 40m,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.","['Family Features', 'US Movies', 'Children & Family Movies']",Heartfelt,"['Cathy Ang', 'Phillipa Soo', 'Ken Jeong', 'Robert G. Chiu', 'John Cho', 'Sandra Oh', 'Ruthie Ann Miles', 'Margaret Cho', 'Kimiko Glenn', 'Artt Butler', 'Irene Tsu', 'Clem Cheung', 'Conrad Ricamora']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Cantonese,', 'Mandarin (Putonghua)']"
Kung Fu Panda,2008,U/A 7+ ,1h 34m,"When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior.","['Martial Arts Movies', 'Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Exciting,"['Jack Black', 'Dustin Hoffman', 'Angelina Jolie', 'Ian McShane', 'Seth Rogen', 'Lucy Liu', 'Jackie Chan', 'David Cross', 'Randall Duk Kim', 'James Hong']","['Bangla,', 'English,', 'Hindi,', 'Tamil']","['English [Original],', 'Hindi']"
Rango,2011,U/A 7+ ,1h 49m,"When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town.","['Family Features', 'US Movies', 'Westerns', 'Children & Family Movies', 'Comedies']","Witty,","['Johnny Depp', 'Isla Fisher', 'Abigail Breslin', 'Ned Beatty', 'Alfred Molina', 'Bill Nighy', 'Stephen Root', 'Harry Dean Stanton', 'Timothy Olyphant', 'Ray Winstone']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Chillar Party,2011,U/A 7+ ,2h 6m,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.","['Family Features', 'Hindi-Language Movies', 'Children & Family Movies', 'Comedies', 'Dramas']","Sentimental,","['Irfan Khan', 'Raju', 'Sanath Menon', 'Rohan Grover', 'Naman Jain', 'Aarav Khanna', 'Vishesh Tiwari', 'Chinmay Chandraunshuh', 'Vedant Desai', 'Shriya Sharma', 'Divji Handa']",['English'],['Hindi [Original]']
Slumberland,2022,U/A 7+ ,2h,"Joined by a larger-than-life outlaw, a daring young orphan journeys through a land of dreams to find a precious pearl that will grant her greatest wish.","['Family Features', 'US Movies', 'Children & Family Movies']",Exciting,"['Jason Momoa', 'Marlow Barkley', ""Chris O'Dowd"", 'Kyle Chandler', 'Weruche Opia', 'India de Beaufort', 'Humberly González']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']"
The Angry Birds Movie,2016,U/A 7+ ,1h 38m,"Sentenced to anger management class, grumpy Red becomes a hero who trains his fellow birds to unleash their inner fury when pigs invade their island.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Witty,"['Jason Sudeikis', 'Josh Gad', 'Danny McBride', 'Maya Rudolph', 'Bill Hader', 'Peter Dinklage', 'Sean Penn', 'Keegan-Michael Key', 'Kate McKinnon', 'Tony Hale', 'Hannibal Buress', 'Ike Barinholtz', 'Tituss Burgess', 'Jillian Bell', 'Danielle Brooks']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Cloudy with a Chance of Meatballs 2,2013,U/A 7+ ,1h 34m,"Inventor Flint Lockwood battles mutant food beasts created by his notorious machine, including shrimpanzees, tacodiles and jellyfish sandwiches.","['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Goofy,"['Bill Hader', 'Anna Faris', 'James Caan', 'Will Forte', 'Andy Samberg', 'Benjamin Bratt', 'Neil Patrick Harris', 'Terry Crews', 'Kristen Schaal']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
How to Train Your Dragon 2,2014,U/A 7+ ,1h 42m,"Hiccup, Toothless and a mysterious dragon rider join forces to protect the island of Berk from a power-hungry warrior with a dragon army of his own.","['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies']",Exciting,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Djimon Hounsou', 'Kit Harington']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Hotel Transylvania 3: Summer Vacation,2018,U/A 7+ ,1h 37m,"It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Goofy,"['Adam Sandler', 'Selena Gomez', 'Kevin James', 'Kathryn Hahn', 'Andy Samberg', 'David Spade', 'Steve Buscemi', 'Fran Drescher', 'Molly Shannon', 'Mel Brooks', 'Keegan-Michael Key']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
YES DAY,2021,U/A 7+ ,1h 29m,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']","Feel-Good,","['Jennifer Garner', 'Edgar Ramírez', 'Jenna Ortega', 'Julian Lerner', 'Everly Carganilla', 'Tracie Thoms', 'Fortune Feimster', 'Nat Faxon', 'Arturo Castro']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Goosebumps 2: Haunted Halloween,2018,U/A 7+ ,1h 29m,"Three teens spend their Halloween trying to stop a magical book, which brings characters from the ""Goosebumps"" novels to life.","['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Exciting,"['Jeremy Ray Taylor', 'Madison Iseman', 'Caleel Harris', 'Wendi McLendon-Covey', 'Chris Parnell', 'Ken Jeong', 'Jack Black']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
We Have a Ghost,2023,U/A 13+ ,2h 7m,"After finding a ghost with a murky past haunting their new house, a family becomes internet sensations — and the targets of a shadowy government agency.","['Family Features', 'US Movies', 'Teen Movies', 'Movies Based on Books', 'Comedies', 'Horror Movies']","Heartfelt,","['David Harbour', 'Anthony Mackie', ""Jahi Di'Allo Winston"", 'Tig Notaro', 'Erica Ash', 'Jennifer Coolidge', 'Faith Ford', 'Niles Fitch', 'Isabella Russo', 'Steve Coulter']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']"
Space Jam: A New Legacy,2021,U/A 7+ ,1h 55m,A legendary baller teams up with an iconic bunny and his classic cartoon crew to beat an evil AI squad on the basketball court — and save his family.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies', 'Sports Movies']","Feel-Good,","['LeBron James', 'Don Cheadle', 'Khris Davis', 'Sonequa Martin-Green', 'Cedric Joe', 'Jeff Bergman', 'Eric Bauza', 'Zendaya']",['English'],"['English [Original],', 'Hindi']"
Mowgli: Legend of the Jungle,2018,U/A 13+ ,1h 44m,An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy -- and his own human origins.,"['Family Features', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Gritty,","['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris', 'Andy Serkis', 'Rohan Chand', 'Peter Mullan', 'Jack Reynor', 'Eddie Marsan', 'Tom Hollander', 'Louis Ashbourne Serkis', 'Matthew Rhys', 'Freida Pinto']","['English,', 'English,', 'Hindi,', 'Tamil,', 'Telugu']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
